afstraffelsesmetode		sb.	53005683	-3	afstraffelsesmetode;afstraffelsesmetoden;afstraffelsesmetodens;afstraffelsesmetoder;afstraffelsesmetoderne;afstraffelsesmetodernes;afstraffelsesmetoders;afstraffelsesmetodes
afstrejfe		vb.	11000773	-1	afstrejf;afstrejfe;afstrejfede;afstrejfende;afstrejfer;afstrejfes;afstrejfet
afstumpe		vb.	11000778	-3	afstump;afstumpe;afstumpede;afstumpende;afstumper;afstumpes;afstumpet
afstumpethed		sb.	51003305	-2	afstumpethed;afstumpetheden;afstumpethedens;afstumpetheder;afstumpethederne;afstumpethedernes;afstumpetheders;afstumpetheds
afstumpning		sb.	51003304	-2	afstumpning;afstumpningen;afstumpningens;afstumpnings
afsværge		vb.	11000792	-2	afsvor;afsvoret;afsvorets;afsværg;afsværge;afsværgede;afsværgende;afsværger;afsværges;afsværget
afsværgelse		sb.	51003312	-2	afsværgelse;afsværgelsen;afsværgelsens;afsværgelser;afsværgelserne;afsværgelsernes;afsværgelsers;afsværgelses
afsætte		vb.	11000799	-1	afsat;afsats;afsatte;afsattes;afsæt;afsætte;afsættende;afsætter;afsættes
afsættelse		sb.	11000800	-1	afsættelse;afsættelsen;afsættelsens;afsættelser;afsættelserne;afsættelsernes;afsættelsers;afsættelses
aftabuisere		vb.	11000802	1	aftabuiser;aftabuisere;aftabuiserede;aftabuiserende;aftabuiserer;aftabuiseres;aftabuiseret
aftabuisering		sb.	49180147	1	aftabuisering;aftabuiseringen;aftabuiseringens;aftabuiseringer;aftabuiseringerne;aftabuiseringernes;aftabuiseringers;aftabuiserings
aftale	2	vb.	11000810	1	aftal;aftale;aftalende;aftaler;aftales;aftalt;aftalte;aftaltes;aftalts
aftale	1	sb.	11000809	1	aftale;aftalen;aftalens;aftaler;aftalerne;aftalernes;aftalers;aftales
aftalebrud		sb.	11000811	-1	aftalebrud;aftalebruddene;aftalebruddenes;aftalebruddet;aftalebruddets;aftalebruds
aftvinge		vb.	11000866	-2	aftvang;aftving;aftvinge;aftvingende;aftvinger;aftvinges;aftvunget;aftvungets
afvej		sb.	11000878	-1	afvej;afveje;afvejen;afvejene;afvejenes;afvejens;afvejes;afvejs
afvekslende		adv.	11000882	2	afvekslende
afvende		vb.	11000884	1	afvend;afvende;afvendende;afvender;afvendes;afvendt;afvendte;afvendtes;afvendts
afvige		vb.	11000886	-1	afveg;afveget;afvegets;afvig;afvige;afvigende;afviger;afviges
afvise		vb.	11000892	-2	afvis;afvise;afvisende;afviser;afvises;afvist;afviste;afvistes;afvists
afvisning		sb.	11000895	-2	afvisning;afvisningen;afvisningens;afvisninger;afvisningerne;afvisningernes;afvisningers;afvisnings
afvæbne		vb.	11000896	1	afvæbn;afvæbne;afvæbnede;afvæbnende;afvæbner;afvæbnes;afvæbnet
afvæbning		sb.	51003331	1	afvæbning;afvæbningen;afvæbningens;afvæbninger;afvæbningerne;afvæbningernes;afvæbningers;afvæbnings
afvænne		vb.	11000897	1	afvæn;afvænne;afvænnede;afvænnende;afvænner;afvænnes;afvænnet
afværge		vb.	11000900	1	afværg;afværge;afværgede;afværgende;afværger;afværges;afværget
afværgeforanstaltning		sb.	53005703	1	afværgeforanstaltning;afværgeforanstaltningen;afværgeforanstaltningens;afværgeforanstaltninger;afværgeforanstaltningerne;afværgeforanstaltningernes;afværgeforanstaltningers;afværgeforanstaltnings
afværgemanøvre		sb.	11000902	1	afværgemanøvre;afværgemanøvren;afværgemanøvrens;afværgemanøvrer;afværgemanøvrerne;afværgemanøvrernes;afværgemanøvrers;afværgemanøvres
afæske		vb.	11000903	-1	afæsk;afæske;afæskede;afæskende;afæsker;afæskes;afæsket
agape		sb.	11000904	1	agape;agapen;agapens;agapes
aggression		sb.	11000933	-2	aggression;aggressionen;aggressionens;aggressioner;aggressionerne;aggressionernes;aggressioners;aggressions
aggressiv		adj.	11000934	-2	aggressiv;aggressive;aggressivere;aggressiveres;aggressivest;aggressiveste;aggressivestes;aggressivests;aggressives;aggressivt;aggressivts
aggressivitet		sb.	11000935	-2	aggressivitet;aggressiviteten;aggressivitetens;aggressivitets
aggressor		sb.	11000936	-2	aggressor;aggressoren;aggressorens;aggressorer;aggressorerne;aggressorernes;aggressorers;aggressors
agilitet		sb.	51003336	1	agilitet;agiliteten;agilitetens;agilitets
agitation		sb.	11000940	1	agitation;agitationen;agitationens;agitationer;agitationerne;agitationernes;agitationers;agitations
agitator		sb.	11000941	-1	agitator;agitatoren;agitatorens;agitatorer;agitatorerne;agitatorernes;agitatorers;agitators
agitatorisk		adj.	11000942	-1	agitatorisk;agitatoriske;agitatoriskes;agitatorisks
agitere		vb.	11000943	1	agiter;agitere;agiterede;agiterende;agiterer;agiteres;agiteret
agorafobi		sb.	11000952	-1	agorafobi;agorafobien;agorafobiens;agorafobis
agt		sb.	11000961	2	agt;agts
agtbar		adj.	11000962	2	agtbar;agtbare;agtbares;agtbart;agtbarts
agte		vb.	11000963	1	agt;agte;agtede;agtende;agter;agtes;agtet
agtelse		sb.	11000964	2	agtelse;agtelsen;agtelsens;agtelses
agtpågivende		adj.	11000983	1	agtpågivende;agtpågivendes
agtpågivenhed		sb.	11000984	1	agtpågivenhed;agtpågivenheden;agtpågivenhedens;agtpågivenheds
agtsom		adj.	11000985	1	agtsom;agtsomme;agtsommes;agtsomt;agtsomts
